Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/23/2020 2:32,32.3182,-86.9023,13670,541,7951,5178,1,278.7983729,177768,1561,3.957571324,84000001,USA,3625.561752,11.41916606
Alaska,US,5/23/2020 2:32,61.3707,-152.4044,403,10,356,37,2,55.08888722,41446,,2.481389578,84000002,USA,5665.543473,
American Samoa,US,5/23/2020 2:32,-14.271,-170.132,0,0,,0,60,0,124,,,16,ASM,222.8572456,
Arizona,US,5/23/2020 2:32,33.7298,-111.4312,15624,775,3949,10900,4,214.6532143,176003,1879,4.96031746,84000004,USA,2418.049774,12.02636969
Arkansas,US,5/23/2020 2:32,34.9697,-92.3731,5612,113,4029,1470,5,185.963038,103047,584,2.013542409,84000005,USA,3414.635278,10.40627227
California,US,5/23/2020 2:32,36.1162,-119.6816,90252,3666,,86586,6,228.4153944,1466773,,4.061959846,84000006,USA,3712.200652,
Colorado,US,5/23/2020 2:32,39.0598,-105.3111,23487,1324,3580,18583,8,407.8499171,142225,4037,5.637160983,84000008,USA,2469.725995,17.18823179
Connecticut,US,5/23/2020 2:32,41.5978,-72.7554,39640,3637,7127,28876,9,1111.831951,202328,12538,9.175075681,84000009,USA,5674.942859,31.629667
Delaware,US,5/23/2020 2:32,39.3185,-75.5071,8529,322,4296,3911,10,875.8795766,48986,,3.775354672,84000010,USA,5030.582359,
Diamond Princess,US,5/23/2020 2:32,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,5/23/2020 2:32,38.8974,-77.0268,7893,418,1069,6406,11,1118.386282,42993,,5.29583175,84000011,USA,6091.825847,
Florida,US,5/23/2020 2:32,27.7663,-81.6868,49451,2190,,47261,12,230.2430652,835496,9372,4.428626317,84000012,USA,3890.056015,18.95209399
Georgia,US,5/23/2020 2:32,33.0406,-83.6431,41482,1808,,39674,13,390.6974414,427249,7313,4.358516947,84000013,USA,4024.036718,17.6293332
Grand Princess,US,5/23/2020 2:32,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,5/23/2020 2:32,13.4443,144.7937,165,5,125,35,66,100.4694664,5279,,3.03030303,316,GUM,3214.414019,
Hawaii,US,5/23/2020 2:32,21.0943,-157.4983,642,17,579,46,15,45.34308186,47985,83,2.647975078,84000015,USA,3389.077544,12.92834891
Idaho,US,5/23/2020 2:32,44.2405,-114.4788,2595,79,1720,796,16,145.210163,39595,223,3.044315992,84000016,USA,2215.644087,8.59344894
Illinois,US,5/23/2020 2:32,40.3495,-88.9861,105444,4715,,100729,17,832.1140269,697133,,4.471567846,84000017,USA,5501.442926,
Indiana,US,5/23/2020 2:32,39.8494,-86.2583,30409,1941,,28468,18,451.6935649,208561,5285,6.382978723,84000018,USA,3097.95329,17.37972311
